# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 1.5426e-16
-7.475 0.725 3.0790e-16
-7.475 0.775 6.1456e-16
-7.475 0.825 1.2267e-15
-7.475 0.875 2.4487e-15
-7.475 0.925 4.8884e-15
-7.475 0.975 9.7591e-15
-7.475 1.025 1.9484e-14
-7.475 1.075 3.8904e-14
-7.475 1.125 7.7686e-14
-7.475 1.175 1.5514e-13
-7.475 1.225 3.0985e-13
-7.475 1.275 6.1891e-13
-7.475 1.325 1.2364e-12
-7.475 1.375 2.4703e-12
-7.475 1.425 4.9362e-12
-7.475 1.475 9.8652e-12
-7.475 1.525 1.9719e-11
-7.475 1.575 3.9424e-11
-7.475 1.625 7.8833e-11
-7.475 1.675 1.5767e-10
-7.475 1.725 3.1540e-10
-7.475 1.775 6.3108e-10
-7.475 1.825 1.2630e-09
-7.475 1.875 2.5280e-09
-7.475 1.925 5.0612e-09
-7.475 1.975 1.0134e-08
-7.475 2.025 2.0294e-08
-7.475 2.075 4.0638e-08
-7.475 2.125 8.1370e-08
-7.475 2.175 1.6288e-07
-7.475 2.225 3.2590e-07
-7.475 2.275 6.5156e-07
-7.475 2.325 1.3011e-06
-7.475 2.375 2.5940e-06
-7.475 2.425 5.1596e-06
-7.475 2.475 1.0230e-05
-7.475 2.525 2.0199e-05
-7.475 2.575 3.9660e-05
-7.475 2.625 7.7311e-05
-7.475 2.675 1.4932e-04
-7.475 2.725 2.8509e-04
-7.475 2.775 5.3653e-04
-7.475 2.825 9.9237e-04
-7.475 2.875 1.7981e-03
-7.475 2.925 3.1812e-03
-7.475 2.975 5.4799e-03
-7.475 3.025 9.1695e-03
-7.475 3.075 1.4885e-02
-7.475 3.125 2.3444e-02
-7.475 3.175 3.5891e-02
-7.475 3.225 5.3621e-02
-7.475 3.275 7.8679e-02
-7.475 3.325 1.1443e-01
-7.475 3.375 1.6692e-01
-7.475 3.425 2.4747e-01
-7.475 3.475 3.7736e-01
-7.475 3.525 5.9547e-01
-7.475 3.575 9.6926e-01
-7.475 3.625 1.6073e+00
-7.475 3.675 2.6658e+00
-7.475 3.725 4.3334e+00
-7.475 3.775 6.7513e+00
-7.475 3.825 9.3606e+00
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
