# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0000e+00
-7.475 -1.925 0.0000e+00
-7.475 -1.875 0.0000e+00
-7.475 -1.825 0.0000e+00
-7.475 -1.775 0.0000e+00
-7.475 -1.725 0.0000e+00
-7.475 -1.675 0.0000e+00
-7.475 -1.625 0.0000e+00
-7.475 -1.575 0.0000e+00
-7.475 -1.525 0.0000e+00
-7.475 -1.475 0.0000e+00
-7.475 -1.425 0.0000e+00
-7.475 -1.375 0.0000e+00
-7.475 -1.325 0.0000e+00
-7.475 -1.275 0.0000e+00
-7.475 -1.225 0.0000e+00
-7.475 -1.175 0.0000e+00
-7.475 -1.125 0.0000e+00
-7.475 -1.075 0.0000e+00
-7.475 -1.025 0.0000e+00
-7.475 -0.975 0.0000e+00
-7.475 -0.925 0.0000e+00
-7.475 -0.875 0.0000e+00
-7.475 -0.825 0.0000e+00
-7.475 -0.775 0.0000e+00
-7.475 -0.725 0.0000e+00
-7.475 -0.675 0.0000e+00
-7.475 -0.625 0.0000e+00
-7.475 -0.575 0.0000e+00
-7.475 -0.525 0.0000e+00
-7.475 -0.475 0.0000e+00
-7.475 -0.425 0.0000e+00
-7.475 -0.375 0.0000e+00
-7.475 -0.325 0.0000e+00
-7.475 -0.275 0.0000e+00
-7.475 -0.225 0.0000e+00
-7.475 -0.175 0.0000e+00
-7.475 -0.125 0.0000e+00
-7.475 -0.075 0.0000e+00
-7.475 -0.025 0.0000e+00
-7.475 0.025 0.0000e+00
-7.475 0.075 0.0000e+00
-7.475 0.125 0.0000e+00
-7.475 0.175 0.0000e+00
-7.475 0.225 0.0000e+00
-7.475 0.275 0.0000e+00
-7.475 0.325 0.0000e+00
-7.475 0.375 0.0000e+00
-7.475 0.425 0.0000e+00
-7.475 0.475 0.0000e+00
-7.475 0.525 0.0000e+00
-7.475 0.575 0.0000e+00
-7.475 0.625 0.0000e+00
-7.475 0.675 0.0000e+00
-7.475 0.725 0.0000e+00
-7.475 0.775 0.0000e+00
-7.475 0.825 0.0000e+00
-7.475 0.875 0.0000e+00
-7.475 0.925 0.0000e+00
-7.475 0.975 0.0000e+00
-7.475 1.025 0.0000e+00
-7.475 1.075 0.0000e+00
-7.475 1.125 0.0000e+00
-7.475 1.175 0.0000e+00
-7.475 1.225 0.0000e+00
-7.475 1.275 0.0000e+00
-7.475 1.325 0.0000e+00
-7.475 1.375 0.0000e+00
-7.475 1.425 2.1585e-28
-7.475 1.475 4.3150e-28
-7.475 1.525 8.6278e-28
-7.475 1.575 1.7256e-27
-7.475 1.625 3.4522e-27
-7.475 1.675 6.9088e-27
-7.475 1.725 1.3831e-26
-7.475 1.775 2.7702e-26
-7.475 1.825 5.5509e-26
-7.475 1.875 1.1128e-25
-7.475 1.925 2.2324e-25
-7.475 1.975 4.4811e-25
-7.475 2.025 9.0018e-25
-7.475 2.075 1.8098e-24
-7.475 2.125 3.6422e-24
-7.475 2.175 7.3374e-24
-7.475 2.225 1.4800e-23
-7.475 2.275 2.9891e-23
-7.475 2.325 6.0465e-23
-7.475 2.375 1.2252e-22
-7.475 2.425 2.4876e-22
-7.475 2.475 5.0617e-22
-7.475 2.525 1.0325e-21
-7.475 2.575 2.1123e-21
-7.475 2.625 4.3351e-21
-7.475 2.675 8.9297e-21
-7.475 2.725 1.8471e-20
-7.475 2.775 3.8392e-20
-7.475 2.825 8.0234e-20
-7.475 2.875 1.6874e-19
-7.475 2.925 3.5744e-19
-7.475 2.975 7.6356e-19
-7.475 3.025 1.6470e-18
-7.475 3.075 3.5932e-18
-7.475 3.125 7.9440e-18
-7.475 3.175 1.7841e-17
-7.475 3.225 4.0829e-17
-7.475 3.275 9.5567e-17
-7.475 3.325 2.2993e-16
-7.475 3.375 5.7239e-16
-7.475 3.425 1.4876e-15
-7.475 3.475 4.0880e-15
-7.475 3.525 1.2109e-14
-7.475 3.575 3.9858e-14
-7.475 3.625 1.5382e-13
-7.475 3.675 7.7279e-13
-7.475 3.725 6.3925e-12
-7.475 3.775 1.6095e-10
-7.475 3.825 1.0327e-07
-7.475 3.875 0.0000e+00
-7.475 3.925 0.0000e+00
-7.475 3.975 0.0000e+00
-7.425 -1.975 0.0000e+00
-7.425 -1.925 0.0000e+00
